출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2021-02-08,전남,화순,71.0,1102578.0,3600,2000.0,604.9972775122512,1822.4511762,0.1173559
2021-02-08,전남,화순,28.0,373515.0,3600,2000.0,604.9972775122512,617.3829435,0.046281199999999995
2021-02-08,전남,화순,89.1,1142892.0,3600,2000.0,604.9972775122512,1889.0861868,0.14727338999999998
2021-02-08,전남,화순,168.3,2149917.0,3600,2000.0,604.9972775122512,3553.5978093,0.27818307
2021-02-08,전남,화순,191.0,1251350.0,3600,2000.0,604.9972775122512,2068.3564149999997,0.3157039
2021-02-08,전남,화순,21.0,329822.0,3600,2000.0,604.9972775122512,545.1627837999999,0.034710899999999996
2021-02-15,전남,화순,143.0,1406541.0,3600,2000.0,604.9972775122512,2324.8716188999997,0.23636469999999998
2021-02-15,전남,화순,57.0,548264.0,3600,2000.0,604.9972775122512,906.2255656,0.09421529999999999
2021-02-15,전남,화순,94.0,861370.0,3600,2000.0,604.9972775122512,1423.7584729999999,0.1553726
2021-02-15,전남,화순,212.0,1825138.0,3600,2000.0,604.9972775122512,3016.7706002,0.35041479999999997
2021-02-15,전남,화순,234.0,977077.0,3600,2000.0,604.9972775122512,1615.0105732999998,0.3867786
2021-02-15,전남,화순,12.0,145392.0,3600,2000.0,604.9972775122512,240.31843679999997,0.0198348
2021-02-22,전남,화순,62.0,679157.0,3600,2000.0,604.9972775122512,1122.5786053,0.1024798
2021-02-22,전남,화순,80.0,664000.0,3600,2000.0,604.9972775122512,1097.5256,0.132232
2021-02-22,전남,화순,159.0,1319700.0,3600,2000.0,604.9972775122512,2181.33213,0.26281109999999996
2021-02-22,전남,화순,344.0,2855200.0,3600,2000.0,604.9972775122512,4719.3600799999995,0.5685975999999999
2021-02-22,전남,화순,338.0,1755313.0,3600,2000.0,604.9972775122512,2901.3568576999996,0.5586802
2021-02-22,전남,화순,2.0,23868.0,3600,2000.0,604.9972775122512,39.451417199999995,0.0033058
2021-03-01,전남,화순,31.0,363444.0,3600,2000.0,604.9972775122512,600.7365876,0.0512399
2021-03-01,전남,화순,58.0,563148.0,3600,2000.0,604.9972775122512,930.8273291999999,0.0958682
2021-03-01,전남,화순,207.0,1929700.0,3600,2000.0,604.9972775122512,3189.60113,0.34215029999999996
2021-03-01,전남,화순,453.0,3792486.0,3600,2000.0,604.9972775122512,6268.600109399999,0.7487636999999999
2021-03-01,전남,화순,456.0,2471807.0,3600,2000.0,604.9972775122512,4085.6497903,0.7537223999999999
2021-03-08,전남,화순,25.0,280006.0,3600,2000.0,604.9972775122512,462.82191739999996,0.0413225
2021-03-08,전남,화순,43.0,426772.0,3600,2000.0,604.9972775122512,705.4114387999999,0.07107469999999999
2021-03-08,전남,화순,197.0,1575581.0,3600,2000.0,604.9972775122512,2604.2778349,0.3256213
2021-03-08,전남,화순,493.0,3282660.0,3600,2000.0,604.9972775122512,5425.908713999999,0.8148797
